epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5635,1.18039,1.88984,0.89739,0.32132,0.32331,0.32554,0.22342,1.26087,1.84438,0.89839,0.0946,0.0006,0.0006
2,41.3018,1.28085,2.42599,0.91329,0.32007,0.29473,0.31931,0.20226,1.39926,2.69322,0.95641,0.0881713,0.0011713,0.0011713
3,54.9759,1.17429,1.99649,0.91596,0.34489,0.89055,0.77743,0.50482,1.25109,1.72298,0.92404,0.081604,0.001604,0.001604
4,68.7963,1.05472,0.9824,0.88905,0.69603,0.77629,0.86066,0.50584,1.35476,1.03347,0.9303,0.0748981,0.0018981,0.0018981
5,83.8308,1.00823,0.72213,0.87633,0.80314,0.8597,0.92842,0.58891,1.24279,0.85914,0.91115,0.0680536,0.0020536,0.0020536
6,98.0058,0.97205,0.64353,0.86517,0.88972,0.89093,0.9676,0.6474,1.1745,0.7053,0.89422,0.0610705,0.0020705,0.0020705
7,115.83,0.90821,0.56994,0.85491,0.92782,0.89356,0.97443,0.67009,1.13078,0.66183,0.88461,0.0539488,0.0019488,0.0019488
8,130.039,0.87924,0.53509,0.85074,0.95103,0.94925,0.97696,0.68963,1.07105,0.59383,0.87184,0.0466885,0.0016885,0.0016885
9,143.767,0.84579,0.5102,0.84765,0.95363,0.94901,0.97714,0.67444,1.10987,0.5844,0.87551,0.0392896,0.0012896,0.0012896
10,164.607,0.81496,0.47802,0.84414,0.96624,0.94427,0.97931,0.71256,1.0259,0.55144,0.86759,0.0317521,0.0007521,0.0007521
